Years of Experience,Salary
7,38297
20,86557
29,78995
15,79487
11,53534
8,65127
29,85629
21,90374
7,59851
26,73016
19,82253
23,88823
11,66276
11,65247
24,92300
21,70529
4,45262
8,45268
24,89271
3,38185
22,85243
21,68331
2,32571
24,93068
12,51208
30,85276
6,50446
2,52460
28,92448
21,78216
1,30006
12,46568
26,93847
22,93824
29,80027
12,46695
25,96071
17,69422
27,79258
27,96002
10,46736
28,76391
28,89986
16,81090
15,62666
30,85892
30,83561
15,76854
30,86184
19,77483
12,66662
23,74392
20,73067
25,85265
3,45488
5,53599
19,87174
7,36454
21,73837
9,52039
7,59380
18,75115
4,38965
25,94538
28,85762
14,53056
18,70948
26,80110
9,51773
26,99266
21,82224
2,41412
20,83769
28,76502
15,56910
28,88685
7,59446
12,67322
29,98872
8,36206
15,71518
3,48361
14,72105
17,77419
4,45868
18,80242
8,51934
4,45247
2,43174
30,103792
6,40755
22,85500
10,52383
4,50403
22,82141
29,92820
18,63574
26,78374
12,67276
2,25678
